,titles,ratings,reviews,dates,replies,reply_dates
54,Responsables SAV absents,1,"Très déçue. Mes amis m’ont offert une montre connectée qu’ils ont racheté en occasion auprès de quelqu’un qui l’avait acheté chez Leclerc. J’ai eu un souci technique avec la montre, je l’ai renvoyée en SAV, depuis 8 mois je suis sans montre et sans remboursement. C’est vraiment une honte en terme d’expérience client. 
Les agents sont à l’écoute et sympathique mais je pense que les responsables derrière ne prennent pas les choses en main lorsqu’un cas demande leur attention, ce qui fait traîner le cas indéfiniment. 
Ce qui était initialement un cadeau d’anniversaire est devenue une grosse cause de stress",2023-01-06T19:42:45.000Z,,
55,"TV NEOQLED SAMSUNG 75Q60B 2022,",1,"Acheté un téléviseur SAMSUNG UHQ très grand écran sur e-leclerc. 3 semaines de retard sur la date de livraison prévue. Service après-vente inexistant. 3 mois après, il y a une panne et le SAV est injoignable. Enseigne pas sérieuse qui se moque de ses clients une fois que c'est payé, à éviter.",2022-12-29T16:04:25.000Z,,
56,Faites attention à Leclerc.Com,1,"Faites attention à Leclerc.Com, si vous pouvez pas aller chercher un colis car vous faites un cadeau et qu'il est à votre nom, une photo ne suffit plus. Donc vous ne pourrez jamais récupérer ce colis. Et vous ne serez jamais remboursé. Vous demandez un retours, ça retourne à chaque fois au point de retrait malgré la demande de retours à l'expéditeur. Leur nouveau truc sans bon de retours c'est une belle arnaque.",2022-12-18T11:05:37.000Z,,
57,Ne rembourse pas !!,1,"Commande annulée le lendemain de l'avoir passé (la référence produit n'était pas la même que sur le site = un ecran de pc passe de 2K à HD en un clic...).
Le service client indique de refuser le colis à l'arrivé pour être remboursé.
Au bout d'un mois toujours pas de remboursement et le colis semble perdu dans un de leur magasin et nos 300e avec...
Ne commandez surtout pas sur ce site !! 
(preferez Amazon ou autres qui sont bien plus réactif et, surtout, logique)",2022-12-21T08:30:50.000Z,,
58,1 catastrophe,1,"1 catastrophe ! Mon colis s est perdu entre leur dépôt et leur transporteur. Commande passée le 23.11 nous sommes le 20.12 et malgré de nombreux appels et mails Leclerc nous refuse le remboursement en indiquant « nous sommes dans l’attente de l’enquête logistique ». Fuyez ce site, je n’ai jamais vu un service client aussi catastrophique.",2022-12-20T12:02:34.000Z,,
59,NE COMMANDEZ PAS SUR CE SITE,1,"Commande passée le 22/11/2022 : 
-1 article remboursé car fausse promotion black friday 
- 2 articles soit disant expédiés mais au final perdu

A ce jour le 20 décembre je n'ai obtenu aucun remboursement pour mes deux articles perdus, j'ai envoyé 3/4 mails au services clients + 5/6 appels rien ne bouge. J'ai déposé ce jour un signalement à la DGCCRF en espérant que ca bouge mais c'est vraiment une honte! Je comprends mieux pourquoi on ne peut pas payer avec paypal...",2022-12-20T16:26:38.000Z,,
60,Mauvaise qualité produit marque LECLERC ESQUISSE,1,"Bonjour,
Achat de plusieurs blocs de feuilles et de scotch de marque ESQUISSE. Pas de chance la totalité de mauvaise qualité. SAV non pris en charge depuis 08/2022. Personne SAV au bout du fil très désagréable.
Pour le scotch, le prix est plus bas donc j'ai acheté. L'emballage est cartonné et ne laisse pas apercevoir les rouleaux. Une fois débalé les rouleaux ne contenaient quasiment pas de scotch. Au bout du compte la marque ESQUISSE est de mauvaise qualité et coûte plus chère que les autres marques",2022-12-22T18:39:08.000Z,,
61,Colis perdu,1,Commande de jouets le 25/11 toujours rien reçu... A 4jours de Noël génial. Aucune réponse de leur enquête logistique... Je me retrouve sans cadeaux de Noël mais bien débitée. Je dois donc racheter à mes frais d'autres cadeaux. Je soupçonne leclerc de ne pas vouloir honorer les promotions du black Friday. Nous n'aurons aucune compensation pour le fait que nous allons devoir acheter les articles sans promotion par la suite. Je vois que je suis loin d'être la seule... Étonnant non ?!,2022-12-20T21:37:58.000Z,,
62,Ticket de caisse,1,"Ils ont pris la décision de ne plus donner le ticket de caisse cette semaine. Or, au départ, cela devait être mis en place au 1er janvier 2023, puis repoussé par le gvt au 1er avril à cause de l'inflation. Donc, de quel droit Leclerc ne respecte pas la loi ? À côté de ça, le client est toujours sollicité pour utiliser la caisse automatique. Je leur ai demandé quelle était la réduction, vu que si je fais le travail d'une caissière, je devrais payer moins cher...",2022-12-18T10:57:18.000Z,,
63,Inadmissible,1,Inadmissible je dde le statut de ma cde en ligne par mail aucune réponse je me déplace chez leclerc osny rien a faire avec les cdes en ligne je téléphone après 20 mns d'attente sans aucun msg je tombe sur une personne totalement incompétente qui me raccroche au nez après que je lui dise qu'elle était incompétente ..  mais pour qui nous prenez vous ? C'est bien la dernière fois que je cde en ligne et la dernière fois que je fais mes courses chez leclerc,2022-12-16T15:24:27.000Z,,
